Rank,Name,Nationality,Position,Own Goals,Forced Turnovers,Defensive Pressure Applied,Defensive Pressure Directly Applied
14,Mohammad Ghorbani,IRN,MF,0,5,23,3
14,Salem Aldawsari,KSA,FW,0,15,120,15
14,Jaouen Hadjam,ALG,DF,0,8,19,5
14,Milad Mohammadi,IRN,DF,0,23,62,22
14,Mohamed Amine Tougai,ALG,DF,0,0,0,0
14,Tsuyoshi Watanabe,JPN,DF,0,4,8,3
14,Karim Boudiaf,QAT,MF,0,2,29,3
14,Joris Kayembe,COD,DF,0,4,20,5
14,Cho Guesung,KOR,FW,0,4,13,1
14,Dennis Dargahi,IRN,FW,0,0,0,0
14,Mohanad Ali,IRQ,FW,0,1,14,1
14,Nuno Da Costa,CPV,MF,0,6,61,3
14,Saleem Obaid,JOR,DF,0,2,6,3
14,Junnosuke Suzuki,JPN,DF,0,0,22,4
14,Mehdi Taremi,IRN,FW,0,17,100,7
14,Ibrahim Maza,ALG,MF,0,25,153,14
14,Cedric Bakambu,COD,FW,0,7,80,4
14,Ngalayel Mukau,COD,MF,0,10,125,9
14,Lee Jaesung,KOR,MF,0,10,46,6
14,Ali Nemati,IRN,DF,0,5,24,10
14,Salah Zakaria,QAT,GK,0,0,0,0
14,Houssem Aouar,ALG,MF,0,8,61,7
14,Yang Hyunjun,KOR,MF,0,2,10,1
14,Rayan Ait Nouri,ALG,DF,0,12,70,25
14,Simon Banza,COD,FW,0,3,25,3
14,Daizen Maeda,JPN,MF,0,18,125,22
14,Yuito Suzuki,JPN,MF,0,0,7,2
14,Luca Zidane,ALG,GK,0,0,0,0
14,Rebin Sulaka,IRQ,DF,0,2,1,1
14,Lucas Mendes,QAT,DF,0,1,5,1
14,Mohammad Abughoush,JOR,MF,0,0,0,0
14,Ali Majrashi,KSA,DF,0,0,0,0
14,Stopira,CPV,DF,0,0,0,0
14,Akram Afif,QAT,FW,0,16,54,5
14,Ayase Ueda,JPN,FW,0,11,173,9
14,Issa Laye,QAT,DF,0,7,30,6
14,Shuto Machino,JPN,FW,0,1,4,1
14,Gedeon Kalulu,COD,DF,0,0,3,3
14,Keisuke Goto,JPN,FW,0,1,6,3
14,Garry Rodrigues,CPV,MF,0,3,23,1
14,Abdallah Alfakhori,JOR,GK,0,0,0,0
14,Ahmed Maknazi,IRQ,DF,0,2,23,5
14,Ramy Bensebaini,ALG,DF,0,7,36,11
14,Amine Gouiri,ALG,FW,0,7,126,12
14,Saed Alrosan,JOR,DF,0,1,3,1
14,Mohammed Alowais,KSA,GK,0,0,0,0
14,Musab Aljuwayr,KSA,MF,0,5,107,8
14,Park Jinseob,KOR,DF,0,1,1,0
14,Abdallah Nasib,JOR,DF,0,12,38,6
14,Samir Chergui,ALG,DF,0,0,4,0
14,Alireza Jahanbakhsh,IRN,MF,0,2,20,0
14,Kou Itakura,JPN,DF,0,4,4,2
14,Aaron Wan Bissaka,COD,DF,0,12,104,14
14,Junya Ito,JPN,MF,0,6,77,5
14,Saleh Alshehri,KSA,FW,0,0,0,0
14,Deroy Duarte,CPV,MF,0,13,137,26
14,Mustafa Saadoon,IRQ,DF,0,0,6,2
14,Oussama Benbot,ALG,GK,0,0,0,0
14,Roozbeh Cheshmi,IRN,MF,0,0,0,0
14,Odeh Fakhoury,JOR,FW,0,7,99,5
14,Meshaal Barsham,QAT,GK,0,0,0,0
14,Mohammad Abuzraiq,JOR,FW,0,0,10,3
14,Feras Albrikan,KSA,FW,0,11,150,11
14,Lee Hanbeom,KOR,DF,0,5,41,22
14,Nizar Alrashdan,JOR,MF,0,15,149,17
14,Lee Taeseok,KOR,DF,0,4,25,5
14,Edmilson Junior,QAT,FW,0,5,66,11
14,Saman Ghoddos,IRN,MF,0,9,102,18
14,Lee Gihyuk,KOR,MF,0,6,19,4
14,Jassem Gaber,QAT,DF,0,13,85,14
14,Kevin Yakob,IRQ,MF,0,1,18,2
14,Achref Abada,ALG,DF,0,0,0,0
14,Ao Tanaka,JPN,MF,0,12,89,34
14,Ziyad Aljohani,KSA,MF,0,0,0,0
14,Youssef Amyn,IRQ,MF,0,2,25,4
14,Khalid Alghannam,KSA,FW,0,0,6,0
14,Fares Chaibi,ALG,MF,0,30,140,16
14,Meschack Elia,COD,FW,0,1,25,3
14,Logan Costa,CPV,DF,0,0,0,0
14,Nathanael Mbuku,COD,MF,0,6,67,8
14,Kim Seunggyu,KOR,GK,0,0,0,0
14,Hiroki Ito,JPN,DF,0,23,34,14
14,Jehad Thikri,KSA,DF,0,0,0,0
14,Mehdi Torabi,IRN,MF,0,1,13,1
14,Ibrahim Sadeh,JOR,MF,0,0,0,0
14,Shoja Khalilzadeh,IRN,DF,0,8,26,12
14,Aimar Sher,IRQ,MF,0,0,4,2
14,Samuel Moutoussamy,COD,MF,0,39,114,31
14,Lee Kangin,KOR,MF,0,11,81,4
14,Hussein Ali,IRQ,DF,0,9,20,3
14,Ali Lajami,KSA,DF,0,3,7,3
14,Jalal Hassan,IRQ,GK,0,0,0,0
14,Pedro Miguel,QAT,DF,0,6,36,8
14,Castrop Jens,KOR,DF,0,2,13,5
14,Takehiro Tomiyasu,JPN,DF,0,4,24,11
14,Frans Putros,IRQ,DF,0,1,26,5
14,Ritsu Doan,JPN,MF,0,9,114,19
14,Danial Iri,IRN,DF,0,0,0,0
14,Ahmed Fathy,QAT,MF,0,10,73,10
14,Mohammad Mohebbi,IRN,MF,0,8,133,15
14,Amirhossein Hosseinzadeh,IRN,FW,0,3,13,3
14,Daichi Kamada,JPN,MF,0,13,116,22
14,Saud Abdulhamid,KSA,DF,0,11,76,18
14,Mohamed Amoura,ALG,FW,0,2,32,1
14,Edo Kayembe,COD,MF,0,20,116,20
14,Willy Semedo,CPV,MF,0,6,57,6
14,Ahmed Alganehi,QAT,MF,0,3,18,4
14,Axel Tuanzebe,COD,DF,0,6,20,10
14,Mahmoud Almardi,JOR,FW,0,6,90,16
14,Nour Baniateyah,JOR,GK,0,0,0,0
14,Sultan Mandash,KSA,FW,0,15,22,5
14,Kim Taehyeon,KOR,DF,0,0,0,0
14,Adil Boulbina,ALG,FW,0,1,13,0
14,Hossein Hosseini,IRN,GK,0,0,0,0
14,Koki Ogawa,JPN,FW,0,3,18,0
14,Kaishu Sano,JPN,MF,0,10,108,14
14,Bae Junho,KOR,MF,0,0,0,0
14,Ali Alhamadi,IRQ,FW,0,13,71,11
14,Ehsan Haddad,JOR,DF,0,13,80,18
14,Cho Wije,KOR,DF,0,0,0,0
14,Alireza Beiranvand,IRN,GK,0,0,0,0
14,Mohammed Abu Alshamat,KSA,DF,0,10,67,16
14,Abdullah Alkhaibari,KSA,MF,0,8,81,7
14,Alhashmi Alhussein,QAT,DF,0,2,20,8
14,Saleh Hardani,IRN,DF,0,5,46,6
14,Arthur Masuaku,COD,DF,0,9,102,10
14,Mousa Altamari,JOR,FW,0,10,82,7
14,Hicham Boudaoui,ALG,MF,0,6,54,8
14,Takefusa Kubo,JPN,MF,0,0,49,3
14,Ali Yousif,IRQ,FW,0,2,17,1
14,Fahad Talib,IRQ,GK,0,0,0,0
14,Abdullah Alhamddan,KSA,FW,0,5,62,5
14,Husam Abudahab,JOR,DF,0,4,42,14
14,Song Bumkeun,KOR,GK,0,0,0,0
14,Seol Youngwoo,KOR,DF,0,6,41,6
14,Melvin Mastil,ALG,GK,0,0,0,0
14,Zineddine Belaid,ALG,DF,0,0,2,2
14,Ehsan Hajisafi,IRN,DF,0,1,27,2
14,Lionel Mpasi,COD,GK,0,0,0,0
14,Anas Badawi,JOR,DF,0,0,0,0
14,Ermin Mahmic,BIH,MF,0,1,41,3
14,Juninho Bacuna,CUW,MF,0,16,148,21
14,Gervane Kastaneer,CUW,FW,0,0,17,3
14,Kevin Felida,CUW,MF,0,0,0,0
14,Jurien Gaari,CUW,DF,0,8,30,14
14,Tarik Muharemovic,BIH,DF,0,10,25,11
14,Brandley Kuwas,CUW,FW,0,0,2,0
14,Kenji Gorre,CUW,FW,0,0,8,1
14,Armin Gigovic,BIH,MF,0,4,33,4
14,Tahith Chong,CUW,MF,0,5,113,9
14,Sherel Floranus,CUW,DF,0,16,95,25
14,Jearl Margaritha,CUW,FW,0,3,23,1
14,Jeremy Antonisse,CUW,FW,0,1,39,3
14,Sontje Hansen,CUW,FW,0,2,31,1
14,Livano Comenencia,CUW,MF,0,13,102,19
14,Benjamin Tahirovic,BIH,MF,0,11,84,10
14,Roshon Van Eijma,CUW,DF,0,1,5,3
14,Jovo Lukic,BIH,FW,0,5,34,2
14,Shurandy Sambo,CUW,DF,0,0,0,0
14,Samed Bazdar,BIH,FW,0,2,6,2
14,Eloy Room,CUW,GK,0,0,0,0
14,Tyrese Noslin,CUW,FW,0,0,7,2
14,Tyrick Bodak,CUW,GK,0,0,0,0
14,Leandro Bacuna,CUW,MF,0,18,110,17
14,Juergen Locadia,CUW,FW,0,7,76,4
14,Kerim Alajbegovic,BIH,FW,0,9,98,8
14,Mladen Jurkas,BIH,GK,0,0,0,0
14,Joshua Brenet,CUW,DF,0,17,65,6
14,Amar Memic,BIH,MF,0,13,54,10
14,Armando Obispo,CUW,DF,0,4,24,9
14,Godfried Roemeratoe,CUW,MF,0,0,4,0
14,Deveron Fonville,CUW,DF,0,9,73,19
14,Riechedly Bazoer,CUW,DF,0,1,11,3
14,Haris Tabakovic,BIH,FW,0,0,0,0
14,Arjany Martha,CUW,MF,0,0,0,0
14,Stjepan Radeljic,BIH,DF,0,1,9,4
14,Martin Zlomislic,BIH,GK,0,0,0,0
14,Nikola Katic,BIH,DF,0,14,43,18
14,Trevor Doornbusch,CUW,GK,0,0,0,0
