Rank,Name,Nationality,Position,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempts,Defensive Linebreaks Accuracy (%),Switches Of Play Attempts,Switches Of Play Accuracy (%)
714,Leon Goretzka,GER,MF,30,23,77,1,0,0,1,100,1,0
714,Egil Selvik,NOR,GK,30,19,63,0,0,0,0,0,0,0
714,Danilo Santos,BRA,MF,30,23,77,0,0,0,2,100,0,0
714,Dominique Simon,HAI,MF,30,22,73,1,100,0,2,0,0,0
726,Federico Vinas,URU,FW,29,18,62,0,0,0,1,0,0,0
726,Matias Vina,URU,DF,29,23,79,2,0,0,0,0,0,0
726,Yeremy Pino,ESP,FW,29,25,86,1,0,0,0,0,0,0
726,Utkir Yusupov,UZB,GK,29,17,59,0,0,0,2,0,1,100
726,Rebin Sulaka,IRQ,DF,29,23,79,0,0,0,0,0,3,33
726,Saleh Hardani,IRN,DF,29,21,72,1,0,0,0,0,0,0
726,Helio Varela,CPV,MF,29,27,93,1,0,2,3,100,0,0
726,Michael Gregoritsch,AUT,FW,29,20,69,0,0,0,2,0,0,0
726,Ruben Neves,POR,MF,29,27,93,0,0,0,2,50,0,0
726,Elias Saad,TUN,FW,29,22,76,2,0,1,1,100,0,0
726,Mathieu Choiniere,CAN,MF,29,23,79,4,50,0,2,50,1,100
726,Ernest Nuamah,GHA,FW,29,20,69,0,0,2,2,50,1,100
726,Evidence Makgopa,RSA,FW,29,20,69,0,0,0,1,100,0,0
739,Patrik Schick,CZE,FW,28,24,86,0,0,1,3,33,0,0
739,Luis Chavez,MEX,MF,28,28,100,1,0,0,1,100,0,0
739,Frans Putros,IRQ,DF,28,26,93,1,0,0,2,100,1,100
739,Ayoub Aloui,QAT,DF,28,11,39,1,0,0,4,0,0,0
743,Alidu Seidu,GHA,DF,27,25,93,1,0,1,0,0,0,0
743,Zizo,EGY,FW,27,23,85,6,33,1,1,0,0,0
743,Jose Canale,PAR,DF,27,18,67,1,0,0,1,0,0,0
743,Fidel Escobar,PAN,DF,27,20,74,1,100,0,1,100,1,0
743,Kevin Rodriguez,ECU,FW,27,23,85,1,0,1,3,67,0,0
749,Brian Rodriguez,URU,FW,26,19,73,14,7,2,7,71,1,100
749,Mateo Chavez,MEX,DF,26,23,88,1,0,2,2,50,0,0
749,Neymar Jr,BRA,FW,26,21,81,7,14,1,2,0,0,0
749,Adam Hlozek,CZE,FW,26,18,69,1,100,3,1,100,0,0
753,Ryan Thomas,NZL,MF,25,18,72,1,0,0,2,0,0,0
753,Darwin Nunez,URU,FW,25,20,80,3,33,1,3,100,1,100
753,Shahriyar Moghanloo,IRN,FW,25,15,60,2,0,0,2,50,1,0
753,Kim Moonhwan,KOR,DF,25,22,88,0,0,0,0,0,0,0
753,Oussama Benbot,ALG,GK,25,18,72,0,0,0,1,0,0,0
753,Alexander Prass,AUT,MF,25,22,88,3,0,0,3,33,0,0
759,Sasa Kalajdzic,AUT,FW,24,16,67,1,0,1,2,0,1,0
759,Jorgen Strand Larsen,NOR,FW,24,18,75,0,0,0,1,0,0,0
759,Kristian Thorstvedt,NOR,MF,24,19,79,0,0,2,1,0,0,0
759,Armin Gigovic,BIH,MF,24,17,71,0,0,0,0,0,1,0
759,Martin Zubimendi,ESP,MF,24,22,92,0,0,0,0,0,0,0
759,Can Uzun,TUR,FW,24,22,92,0,0,4,0,0,0,0
759,Joris Kayembe,COD,DF,24,19,79,3,67,0,4,25,0,0
759,Samir Chergui,ALG,DF,24,23,96,0,0,0,0,0,0,0
759,Iqraam Rayners,RSA,FW,24,21,88,2,0,0,3,33,0,0
768,Inaki Williams,GHA,FW,23,15,65,4,25,1,3,67,0,0
768,Bazoumana Toure,CIV,FW,23,16,70,4,0,2,1,0,1,100
768,Cyle Larin,CAN,FW,23,20,87,0,0,1,1,0,0,0
768,Mouhib Chamakh,TUN,GK,23,16,70,0,0,0,0,0,0,0
768,Deiver Machado,COL,DF,23,22,96,2,0,0,1,100,0,0
768,Gabriel Avalos,PAR,FW,23,12,52,0,0,0,4,25,0,0
768,Jorge Gutierrez,PAN,DF,23,19,83,0,0,0,1,0,0,0
768,Henrik Falchener,NOR,DF,23,18,78,0,0,0,0,0,0,0
768,Nuno Da Costa,CPV,MF,23,18,78,1,0,2,5,40,0,0
768,Cedric Bakambu,COD,FW,23,16,70,1,0,2,1,0,0,0
768,Jason Geria,AUS,DF,23,18,78,1,0,0,0,0,0,0
779,Stepan Chaloupek,CZE,DF,22,15,68,0,0,0,1,0,1,100
779,Roger Ibanez,BRA,DF,22,22,100,0,0,2,1,100,0,0
779,Obed Vargas,MEX,MF,22,20,91,0,0,2,3,33,0,0
779,Brenden Aaronson,USA,FW,22,21,95,3,33,0,2,50,0,0
779,Abdul Fatawu,GHA,FW,22,18,82,7,14,7,8,50,1,100
779,Kojo Peprah Oppong,GHA,DF,22,21,95,0,0,0,0,0,0,0
779,Oh Hyeongyu,KOR,FW,22,15,68,1,0,1,2,50,0,0
779,Charles Pickel,COD,MF,22,19,86,0,0,0,0,0,2,50
779,Abdullah Alhamddan,KSA,FW,22,16,73,1,0,1,2,50,0,0
779,Aimar Sher,IRQ,MF,22,20,91,1,0,0,0,0,0,0
789,Odeh Fakhoury,JOR,FW,21,17,81,1,0,1,0,0,1,100
789,Azarias Londono,PAN,FW,21,20,95,1,0,2,2,50,0,0
789,Elye Wahi,CIV,FW,21,15,71,1,0,0,3,33,0,0
789,Wilson Isidor,HAI,FW,21,18,86,0,0,0,1,100,0,0
789,Brian Brobbey,NED,FW,21,18,86,1,0,1,0,0,0,0
789,Ivan Toney,ENG,FW,21,15,71,0,0,0,1,100,0,0
789,Fredrik Andre Bjorkan,NOR,DF,21,19,90,0,0,0,0,0,0,0
796,Nadiem Amiri,GER,MF,20,17,85,2,50,0,2,50,1,100
796,Andrej Kramaric,CRO,FW,20,17,85,2,0,0,2,50,0,0
796,Mehdi Torabi,IRN,MF,20,17,85,2,0,0,1,100,0,0
796,Ehsan Hajisafi,IRN,DF,20,11,55,2,0,1,2,0,1,100
796,Lenny Joseph,HAI,FW,20,13,65,0,0,5,3,33,1,100
796,Dylan Bronn,TUN,DF,20,16,80,0,0,0,0,0,1,0
796,Valentin Barco,ARG,MF,20,17,85,0,0,0,1,100,0,0
796,Endrick,BRA,FW,20,16,80,1,0,1,4,25,0,0
804,Yaimar Medina,ECU,DF,19,17,89,4,25,0,1,0,1,100
804,Sergio Rochet,URU,GK,19,10,53,0,0,0,3,67,0,0
804,Alexandro Maidana,PAR,DF,19,13,68,1,0,0,0,0,0,0
804,Che Adams,SCO,FW,19,12,63,0,0,0,2,0,0,0
804,Oumar Diakite,CIV,FW,19,17,89,1,0,3,3,33,0,0
804,Dailon Livramento,CPV,FW,19,15,79,3,33,1,0,0,0,0
804,Adil Boulbina,ALG,FW,19,16,84,0,0,1,1,100,1,100
804,Munaf Younus,IRQ,DF,19,17,89,0,0,0,0,0,0,0
804,Mohammad Ghorbani,IRN,MF,19,16,84,0,0,0,0,0,0,0
813,Saleem Obaid,JOR,DF,18,12,67,0,0,0,0,0,0,0
813,Arya Yousefi,IRN,DF,18,16,89,0,0,1,0,0,0,0
813,Jose Fajardo,PAN,FW,18,11,61,0,0,0,1,100,0,0
813,Jaminton Campaz,COL,FW,18,12,67,3,0,5,2,50,2,100
813,Morten Thorsby,NOR,MF,18,17,94,0,0,0,0,0,0,0
813,Sebastian Tounekti,TUN,MF,18,16,89,3,0,1,1,0,0,0
813,Alphonso Davies,CAN,DF,18,14,78,1,0,1,0,0,0,0
813,Vladimir Darida,CZE,MF,18,14,78,0,0,2,1,0,0,0
821,Jamshid Iskanderov,UZB,MF,17,11,65,1,0,0,2,50,0,0
821,Ala Alhajji,KSA,MF,17,16,94,0,0,0,0,0,0,0
821,Frantzdy Pierrot,HAI,FW,17,13,76,0,0,0,0,0,0,0
821,Jean Michael Seri,CIV,MF,17,16,94,3,0,0,2,50,0,0
821,Memphis Depay,NED,FW,17,15,88,1,100,0,2,100,1,100
826,Francisco Trincao,POR,FW,16,13,81,0,0,0,1,0,0,0
826,Taha Ali,SWE,FW,16,15,94,1,0,4,2,100,0,0
826,Francis De Vries,NZL,DF,16,7,44,2,50,1,0,0,0,0
826,Mohamed Toure,AUS,FW,16,12,75,2,0,2,2,50,0,0
826,Jesse Randall,NZL,FW,16,12,75,5,40,2,1,0,0,0
826,Ermin Mahmic,BIH,MF,16,12,75,1,0,0,0,0,1,100
826,Alan Minda,ECU,MF,16,12,75,2,0,0,1,0,0,0
826,Promise David,CAN,FW,16,8,50,0,0,0,1,0,1,100
826,Aymen Hussein,IRQ,FW,16,12,75,0,0,0,3,67,0,0
826,Ahmed Qasem,IRQ,FW,16,13,81,1,0,0,1,100,0,0
826,Takefusa Kubo,JPN,MF,16,12,75,0,0,0,2,50,0,0
837,Mohamed Manai,QAT,FW,15,7,47,0,0,1,3,33,0,0
837,Matias Fernandez Pardo,BEL,FW,15,13,87,3,0,4,3,67,0,0
837,Diego Moreira,BEL,MF,15,10,67,4,25,1,3,67,2,50
837,Kerem Akturkoglu,TUR,FW,15,9,60,2,50,0,0,0,0,0
837,Louicius Deedson,HAI,FW,15,13,87,5,20,5,5,60,0,0
837,Ismael Diaz,PAN,MF,15,13,87,0,0,1,0,0,0,0
843,Kevin Castano,COL,MF,14,14,100,0,0,0,0,0,0,0
843,Jamie Leweling,GER,MF,14,11,79,3,0,0,1,0,0,0
843,Pascal Gross,GER,MF,14,14,100,1,0,0,1,100,0,0
843,Igor Matanovic,CRO,FW,14,11,79,0,0,2,0,0,0,0
843,Garry Rodrigues,CPV,MF,14,11,79,2,50,2,2,100,0,0
843,Meschack Elia,COD,FW,14,13,93,2,0,0,5,60,0,0
843,Amirhossein Hosseinzadeh,IRN,FW,14,10,71,0,0,0,3,67,1,100
843,Yusuf Abdurisag,QAT,FW,14,9,64,0,0,1,3,0,0,0
843,Hassan Alhaydos,QAT,FW,14,10,71,0,0,0,1,0,0,0
843,Telmo Arcanjo,CPV,MF,14,12,86,1,100,2,0,0,1,100
843,Zakaria El Ouahdi,MAR,DF,14,14,100,0,0,0,1,0,0,0
843,Mohamed Abdelmoneim,EGY,DF,14,14,100,0,0,0,0,0,1,100
843,Denis Visinsky,CZE,FW,14,14,100,0,0,2,0,0,0,0
843,Farrukh Sayfiev,UZB,DF,14,12,86,1,0,1,2,100,0,0
857,Maximilian Beier,GER,FW,13,6,46,0,0,0,1,0,0,0
857,Patrick Wimmer,AUT,FW,13,7,54,0,0,0,2,100,0,0
857,Senne Lammens,BEL,GK,13,6,46,0,0,0,1,0,0,0
857,Jordan Henderson,ENG,MF,13,12,92,1,0,0,0,0,0,0
857,Noa Lang,NED,FW,13,11,85,1,0,1,2,100,0,0
857,Jovo Lukic,BIH,FW,13,7,54,0,0,0,1,0,0,0
857,Guillermo Martinez,MEX,FW,13,12,92,1,0,0,0,0,0,0
857,Santiago Gimenez,MEX,FW,13,7,54,0,0,0,0,0,0,0
857,Alex Sandro,BRA,DF,13,13,100,0,0,0,0,0,0,0
857,Mohamed Hadj Mahmoud,TUN,MF,13,12,92,0,0,0,0,0,1,100
857,Yang Hyunjun,KOR,MF,13,9,69,0,0,0,0,0,0,0
857,Ali Azaizeh,JOR,FW,13,12,92,1,0,1,0,0,0,0
857,Saed Alrosan,JOR,DF,13,12,92,0,0,0,0,0,0,0
857,Theo Bongonda,COD,MF,13,9,69,2,0,0,2,0,0,0
871,Kevin Yakob,IRQ,MF,12,9,75,0,0,1,1,0,0,0
871,Ahmed Alganehi,QAT,MF,12,11,92,2,100,1,0,0,0,0
871,Carl Starfelt,SWE,DF,12,11,92,0,0,0,0,0,0,0
871,Nishan Velupillay,AUS,FW,12,6,50,0,0,1,0,0,0,0
871,Quinten Timber,NED,MF,12,10,83,2,50,0,2,50,0,0
871,Assane Diao,SEN,FW,12,12,100,0,0,2,3,33,0,0
871,Jackson Porozo,ECU,DF,12,12,100,0,0,0,0,0,0,0
871,Luiz Henrique,BRA,FW,12,12,100,0,0,0,3,100,0,0
871,Jhon Cordoba,COL,FW,12,9,75,0,0,0,0,0,0,0
880,Lyndon Dykes,SCO,FW,11,7,64,1,0,0,4,25,0,0
880,Zeki Amdouni,SUI,FW,11,8,73,0,0,3,0,0,0,0
880,Eric Garcia,ESP,DF,11,10,91,0,0,0,0,0,1,100
880,Fiston Mayele,COD,FW,11,7,64,0,0,0,0,0,0,0
880,Marko Farji,IRQ,FW,11,7,64,2,50,1,1,100,0,0
880,Alireza Jahanbakhsh,IRN,MF,11,7,64,2,50,1,1,100,0,0
880,Gilson Benchimol,CPV,FW,11,9,82,0,0,3,2,0,0,0
880,Samu Costa,POR,DF,11,11,100,0,0,0,0,0,0,0
880,Goncalo Ramos,POR,FW,11,10,91,0,0,0,0,0,0,0
880,Petar Musa,CRO,FW,11,7,64,0,0,1,3,33,0,0
890,Ante Budimir,CRO,FW,10,6,60,0,0,0,2,0,0,0
890,Ollie Watkins,ENG,FW,10,9,90,3,33,3,2,100,0,0
890,Sondre Langas,NOR,DF,10,9,90,0,0,0,0,0,1,100
890,Dennis Hadzikadunic,BIH,DF,10,8,80,0,0,0,0,0,0,0
890,Oston Urunov,UZB,MF,10,8,80,0,0,1,2,50,0,0
890,Mathew Leckie,AUS,FW,10,7,70,1,0,0,0,0,0,0
890,Kendry Paez,ECU,MF,10,9,90,0,0,0,0,0,0,0
890,Alexis Vega,MEX,FW,10,10,100,1,0,0,1,0,0,0
890,Cecilio Waterman,PAN,FW,10,7,70,0,0,0,1,0,0,0
890,Alex Arce,PAR,FW,10,7,70,0,0,0,0,0,0,0
890,Antonio Sanabria,PAR,FW,10,7,70,0,0,0,0,0,0,0
890,Alejandro Romero Gamarra,PAR,FW,10,6,60,0,0,0,0,0,1,100
890,Ayoub El Kaabi,MAR,FW,10,7,70,0,0,1,0,0,0,0
890,Hazem Mastouri,TUN,FW,10,7,70,1,100,1,0,0,0,0
890,Hamza Abdelkarim,EGY,FW,10,7,70,1,0,0,2,0,0,0
890,Simon Adingra,CIV,FW,10,9,90,1,100,0,0,0,0,0
890,Bara Sapoko Ndiaye,SEN,MF,10,9,90,1,100,0,0,0,0,0
907,Ayoube Amaimouni,MAR,FW,9,8,89,1,0,2,0,0,1,0
907,Jonathan Osorio,CAN,MF,9,6,67,0,0,0,0,0,0,0
907,Tshepang Moremi,RSA,FW,9,6,67,0,0,1,0,0,0,0
907,Noah Okafor,SUI,FW,9,7,78,0,0,1,2,0,0,0
907,Tyrese Noslin,CUW,FW,9,5,56,3,33,0,1,0,0,0
907,Gervane Kastaneer,CUW,FW,9,7,78,0,0,0,0,0,0,0
907,Axel Witsel,BEL,MF,9,8,89,0,0,0,0,0,0,0
907,Tomas Rodriguez,PAN,FW,9,7,78,0,0,0,1,100,0,0
907,Guillermo Ochoa,MEX,GK,9,4,44,0,0,0,2,50,0,0
907,Mehdi Ghayedi,IRN,FW,9,6,67,3,33,0,1,100,0,0
907,Sultan Mandash,KSA,FW,9,7,78,0,0,0,0,0,0,0
907,Eom Jisung,KOR,MF,9,9,100,3,67,2,2,100,0,0
919,Ahmed Alaaeldin,QAT,FW,8,4,50,0,0,0,1,0,0,0
919,Ali Alipour,IRN,FW,8,4,50,0,0,0,1,100,0,0
919,Mohamed Amoura,ALG,FW,8,7,88,0,0,0,0,0,0,0
919,Nadhir Benbouali,ALG,FW,8,6,75,1,0,0,0,0,0,0
919,Jearl Margaritha,CUW,FW,8,8,100,0,0,0,0,0,0,0
919,Elias Achouri,TUN,FW,8,7,88,0,0,0,0,0,0,0
919,Derrick Etienne,HAI,FW,8,4,50,2,50,0,2,0,0,0
919,Jayden Nelson,CAN,FW,8,6,75,0,0,2,0,0,0,0
919,Awer Mabil,AUS,FW,8,5,63,1,0,0,0,0,0,0
919,Tomas Chory,CZE,FW,8,7,88,0,0,0,1,0,0,0
919,Dzenis Burnic,BIH,MF,8,7,88,0,0,0,0,0,0,0
919,Anibal Godoy,PAN,MF,8,8,100,1,0,0,1,100,1,0
919,Cucho Hernandez,COL,FW,8,5,63,1,100,0,0,0,0,0
919,Gustavo Caballero,PAR,MF,8,5,63,0,0,1,1,0,0,0
919,Guus Til,NED,MF,8,7,88,0,0,0,1,0,0,0
934,Justin Kluivert,NED,MF,7,7,100,1,0,0,0,0,0,0
934,Maghnes Akliouche,FRA,MF,7,5,71,2,0,0,0,0,0,0
934,Joaquin Seys,BEL,DF,7,7,100,0,0,0,0,0,0,0
934,Wout Weghorst,NED,FW,7,4,57,0,0,0,1,0,0,0
934,Themba Zwane,RSA,MF,7,5,71,0,0,0,0,0,0,0
934,Firas Chaouat,TUN,FW,7,7,100,0,0,0,0,0,0,0
934,Cho Guesung,KOR,FW,7,4,57,0,0,0,0,0,0,0
934,Junnosuke Suzuki,JPN,DF,7,6,86,1,0,0,1,0,0,0
934,Braian Ojeda,PAR,MF,7,6,86,0,0,0,0,0,0,0
934,Eric Davis,PAN,DF,7,3,43,3,33,0,2,0,0,0
934,Alex Zendejas,USA,FW,7,6,86,1,0,0,1,0,0,0
934,David Zima,CZE,DF,7,6,86,0,0,0,0,0,0,0
934,Mattias Svanberg,SWE,MF,7,7,100,0,0,0,0,0,0,0
947,Azizbek Amonov,UZB,FW,6,5,83,1,0,2,0,0,1,100
947,Callan Elliot,NZL,DF,6,4,67,0,0,0,0,0,0,0
947,Brandon Thomas Asante,GHA,FW,6,3,50,2,50,1,0,0,0,0
947,Ibrahim Adel,EGY,FW,6,4,67,0,0,0,2,100,0,0
947,Sontje Hansen,CUW,FW,6,5,83,0,0,0,0,0,0,0
947,Jordy Caicedo,ECU,FW,6,6,100,0,0,0,0,0,0,0
947,Simon Banza,COD,FW,6,4,67,0,0,0,0,0,1,0
947,Youssef Amyn,IRQ,MF,6,5,83,0,0,0,0,0,0,0
947,Gedeon Kalulu,COD,DF,6,5,83,0,0,0,1,0,0,0
956,Mohammad Abuzraiq,JOR,FW,5,4,80,0,0,0,0,0,0,0
956,Ahmed Maknazi,IRQ,DF,5,3,60,0,0,1,0,0,0,0
956,Mohammad Aldaoud,JOR,MF,5,2,40,0,0,1,1,0,0,0
956,Lyle Foster,RSA,FW,5,1,20,0,0,0,1,0,0,0
956,Kamogelo Sebelebele,RSA,FW,5,4,80,1,0,0,0,0,0,0
956,Prince Adu,GHA,FW,5,4,80,0,0,0,0,0,0,0
956,Evann Guessand,CIV,FW,5,4,80,0,0,0,0,0,0,0
956,Anthony Ralston,SCO,DF,5,5,100,1,100,1,1,100,1,100
956,Eray Coemert,SUI,DF,5,5,100,0,0,0,0,0,0,0
956,Tete Yengi,AUS,FW,5,3,60,1,0,0,2,0,0,0
956,Christian Fassnacht,SUI,FW,5,5,100,0,0,0,0,0,0,0
956,Cedric Itten,SUI,FW,5,3,60,1,0,0,0,0,0,0
956,Ederson Silva,BRA,MF,5,5,100,3,33,0,0,0,0,0
956,Orbelin Pineda,MEX,MF,5,5,100,0,0,1,1,0,0,0
956,Yassin Fortune,HAI,FW,5,5,100,0,0,0,0,0,0,0
956,Igor Thiago,BRA,FW,5,4,80,0,0,1,0,0,0,0
956,Samed Bazdar,BIH,FW,5,2,40,0,0,1,3,0,0,0
974,Brandley Kuwas,CUW,FW,4,3,75,1,0,0,1,0,0,0
974,Dan Burn,ENG,DF,4,2,50,0,0,0,2,0,0,0
974,Jorrel Hato,NED,DF,4,2,50,1,100,0,0,0,0,0
974,Yuito Suzuki,JPN,MF,4,4,100,0,0,2,0,0,0,0
974,Shuto Machino,JPN,FW,4,3,75,1,0,1,0,0,1,100
974,Amer Jamous,JOR,MF,4,4,100,0,0,0,0,0,0,0
974,Ali Yousif,IRQ,FW,4,4,100,0,0,0,0,0,0,0
974,Mortadha Ben Ouanes,TUN,DF,4,3,75,0,0,0,1,0,0,0
974,Isidro Pitta,PAR,FW,4,3,75,1,0,0,1,0,0,0
974,Caglar Soyuncu,TUR,DF,4,3,75,0,0,0,0,0,0,0
974,Igor Sergeev,UZB,FW,4,4,100,0,0,0,0,0,0,0
986,Ken Sema,SWE,MF,3,3,100,0,0,1,0,0,0,0
986,Kaan Ayhan,TUR,MF,3,1,33,0,0,0,0,0,0,0
986,Amir Hadziahmetovic,BIH,MF,3,3,100,1,0,0,0,0,0,0
986,Mohammad Abuhasheesh,JOR,DF,3,3,100,0,0,0,0,0,0,0
986,Almoez Ali,QAT,FW,3,2,67,0,0,0,1,100,0,0
986,Koki Ogawa,JPN,FW,3,3,100,0,0,0,0,0,0,0
986,Godfried Roemeratoe,CUW,MF,3,1,33,0,0,0,0,0,0,0
986,Shurandy Sambo,CUW,DF,3,3,100,0,0,0,0,0,0,0
986,Luka Sucic,CRO,MF,3,1,33,0,0,0,1,0,0,0
986,Jens Petter Hauge,NOR,MF,3,2,67,0,0,0,0,0,0,0
986,Alberto Quintero,PAN,MF,3,3,100,1,0,0,0,0,0,0
986,Ramon Sosa,PAR,MF,3,3,100,0,0,0,0,0,0,0
986,Yerry Mina,COL,DF,3,3,100,0,0,0,0,0,0,0
986,Bamba Dieng,SEN,FW,3,3,100,0,0,0,0,0,0,0
986,Duckens Nazon,HAI,FW,3,1,33,0,0,1,0,0,0,0
1001,Kenji Gorre,CUW,FW,2,0,0,0,0,0,0,0,0,0
1001,Mojmir Chytil,CZE,FW,2,2,100,0,0,0,1,100,0,0
1001,Irfan Can Kahveci,TUR,FW,2,2,100,0,0,0,0,0,0,0
1001,Gustaf Nilsson,SWE,FW,2,1,50,0,0,0,0,0,0,0
1001,Marc Pubill,ESP,DF,2,2,100,0,0,0,0,0,0,0
1001,Findlay Curtis,SCO,FW,2,2,100,2,0,1,1,100,0,0
1001,Mohanad Ali,IRQ,FW,2,1,50,0,0,0,0,0,0,0
1001,Jose Manuel Lopez,ARG,FW,2,2,100,0,0,0,1,0,0,0
1001,Cesar Huerta,MEX,FW,2,2,100,0,0,0,0,0,0,0
1001,Jean Philippe Mateta,FRA,FW,2,2,100,0,0,1,0,0,0,0
1011,Nick Woltemade,GER,FW,1,1,100,0,0,0,0,0,0,0
1011,Marten De Roon,NED,MF,1,1,100,0,0,0,0,0,0,0
1011,Matheus Nunes,POR,MF,1,1,100,0,0,0,0,0,0,0
1011,Sherzod Esanov,UZB,MF,1,1,100,0,0,0,0,0,0,0
1011,Roshon Van Eijma,CUW,DF,1,1,100,0,0,0,0,0,0,0
1011,Haris Tabakovic,BIH,FW,1,1,100,0,0,0,0,0,0,0
1011,Haji Wright,USA,FW,1,1,100,0,0,0,0,0,0,0
1011,Rodrigo Aguirre,URU,FW,1,0,0,0,0,0,0,0,0,0
1011,Armando Gonzalez,MEX,FW,1,1,100,0,0,0,0,0,0,0
1011,Mustafa Saadoon,IRQ,DF,1,1,100,0,0,0,0,0,0,0
1011,Keisuke Goto,JPN,FW,1,1,100,0,0,0,1,100,0,0
1011,Kento Shiogai,JPN,FW,1,1,100,0,0,0,0,0,0,0
1023,Abdallah Alfakhori,JOR,GK,0,0,0,0,0,0,0,0,0,0
1023,Saleh Alshehri,KSA,FW,0,0,0,0,0,0,0,0,0,0
1023,Ziyad Aljohani,KSA,MF,0,0,0,0,0,0,0,0,0,0
1023,Keisuke Osako,JPN,GK,0,0,0,0,0,0,0,0,0,0
1023,Jehad Thikri,KSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Nawaf Alaqidi,KSA,GK,0,0,0,0,0,0,0,0,0,0
1023,Bae Junho,KOR,MF,0,0,0,0,0,0,0,0,0,0
1023,Logan Costa,CPV,DF,0,0,0,0,0,0,0,0,0,0
1023,Lee Donggyeong,KOR,MF,0,0,0,0,0,0,0,0,0,0
1023,Hassan Kadish,KSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Fahad Talib,IRQ,GK,0,0,0,0,0,0,0,0,0,0
1023,Ahmed Alkassar,KSA,GK,0,0,0,0,0,0,0,0,0,0
1023,Dennis Dargahi,IRN,FW,0,0,0,0,0,0,0,0,0,0
1023,Khalid Alghannam,KSA,FW,0,0,0,0,0,0,0,0,0,0
1023,Gael Kakuta,COD,FW,0,0,0,0,0,0,0,0,0,0
1023,Kim Taehyeon,KOR,DF,0,0,0,0,0,0,0,0,0,0
1023,Cho Wije,KOR,DF,0,0,0,0,0,0,0,0,0,0
1023,Danial Iri,IRN,DF,0,0,0,0,0,0,0,0,0,0
1023,Song Bumkeun,KOR,GK,0,0,0,0,0,0,0,0,0,0
1023,Ali Majrashi,KSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Mohamed Amine Tougai,ALG,DF,0,0,0,0,0,0,0,0,0,0
1023,Tomoki Hayakawa,JPN,GK,0,0,0,0,0,0,0,0,0,0
1023,Yassine Titraoui,ALG,MF,0,0,0,0,0,0,0,0,0,0
1023,Amirmohammad Razaghinia,IRN,MF,0,0,0,0,0,0,0,0,0,0
1023,Marcio Rosa,CPV,GK,0,0,0,0,0,0,0,0,0,0
1023,Tahsin Mohammed,QAT,FW,0,0,0,0,0,0,0,0,0,0
1023,Payam Niazmand,IRN,GK,0,0,0,0,0,0,0,0,0,0
1023,Jo Hyeonwoo,KOR,GK,0,0,0,0,0,0,0,0,0,0
1023,Rajaei Ayed,JOR,MF,0,0,0,0,0,0,0,0,0,0
1023,Cj Dos Santos,CPV,GK,0,0,0,0,0,0,0,0,0,0
1023,Alhashmi Alhussein,QAT,DF,0,0,0,0,0,0,0,0,0,0
1023,Dylan Batubinsika,COD,DF,0,0,0,0,0,0,0,0,0,0
1023,Aiman Yahya,KSA,FW,0,0,0,0,0,0,0,0,0,0
1023,Roozbeh Cheshmi,IRN,MF,0,0,0,0,0,0,0,0,0,0
1023,Ibrahim Sadeh,JOR,MF,0,0,0,0,0,0,0,0,0,0
1023,Lucas Mendes,QAT,DF,0,0,0,0,0,0,0,0,0,0
1023,Salah Zakaria,QAT,GK,0,0,0,0,0,0,0,0,0,0
1023,Mohammad Abughoush,JOR,MF,0,0,0,0,0,0,0,0,0,0
1023,Aaron Tshibola,COD,MF,0,0,0,0,0,0,0,0,0,0
1023,Mohammed Muntari,QAT,FW,0,0,0,0,0,0,0,0,0,0
1023,Anas Badawi,JOR,DF,0,0,0,0,0,0,0,0,0,0
1023,Timothy Fayulu,COD,GK,0,0,0,0,0,0,0,0,0,0
1023,Meshaal Barsham,QAT,GK,0,0,0,0,0,0,0,0,0,0
1023,Achref Abada,ALG,DF,0,0,0,0,0,0,0,0,0,0
1023,Stopira,CPV,DF,0,0,0,0,0,0,0,0,0,0
1023,Nour Baniateyah,JOR,GK,0,0,0,0,0,0,0,0,0,0
1023,Hossein Hosseini,IRN,GK,0,0,0,0,0,0,0,0,0,0
1023,Fares Ghedjemis,ALG,FW,0,0,0,0,0,0,0,0,0,0
1023,Melvin Mastil,ALG,GK,0,0,0,0,0,0,0,0,0,0
1023,Matthieu Epolo,COD,GK,0,0,0,0,0,0,0,0,0,0
1023,Hugo Sochurek,CZE,MF,0,0,0,0,0,0,0,0,0,0
1023,Marvin Keller,SUI,GK,0,0,0,0,0,0,0,0,0,0
1023,Hjalmar Ekdal,SWE,DF,0,0,0,0,0,0,0,0,0,0
1023,Liam Kelly,SCO,GK,0,0,0,0,0,0,0,0,0,0
1023,Logan Rogerson,NZL,FW,0,0,0,0,0,0,0,0,0,0
1023,Mathew Ryan,AUS,GK,0,0,0,0,0,0,0,0,0,0
1023,Nihad Mujakic,BIH,DF,0,0,0,0,0,0,0,0,0,0
1023,Kosta Barbarouses,NZL,FW,0,0,0,0,0,0,0,0,0,0
1023,Eric Smith,SWE,DF,0,0,0,0,0,0,0,0,0,0
1023,Altay Bayindir,TUR,GK,0,0,0,0,0,0,0,0,0,0
1023,Joan Garcia,ESP,GK,0,0,0,0,0,0,0,0,0,0
