Rank,Name,Nationality,Position,Goals,Assists,Minutes Played
1209,Fares Chaibi,ALG,MF,0,0,403
1209,Aissa Mandi,ALG,DF,0,0,403
1212,Vitinha,POR,MF,0,0,404
1213,Hiroki Ito,JPN,DF,0,0,405
1214,Zion Suzuki,JPN,GK,0,0,405
1215,Aiden Oneill,AUS,MF,0,0,406
1216,Moises Caicedo,ECU,MF,0,0,407
1216,Hernan Galindez,ECU,GK,0,0,407
1216,Willian Pacho,ECU,DF,0,0,407
1219,Yahia Fofana,CIV,GK,0,0,408
1220,Lionel Mpasi,COD,GK,0,0,409
1220,Axel Tuanzebe,COD,DF,0,0,409
1222,Mohanad Lashin,EGY,MF,0,0,409
1223,Idrissa Gana Gueye,SEN,MF,0,0,411
1224,Nikola Vasilj,BIH,GK,0,0,411
1225,Alexander Schlager,AUT,GK,0,0,412
1226,Johan Vasquez,MEX,DF,0,0,412
1227,Dominik Livakovic,CRO,GK,0,0,413
1227,Josip Sutalo,CRO,DF,0,0,413
1229,Gideon Mensah,GHA,DF,0,0,414
1229,Antoine Semenyo,GHA,MF,0,0,414
1231,Ruben Dias,POR,DF,0,0,418
1232,Jonathan Tah,GER,DF,0,0,419
1233,Matt Freese,USA,GK,0,0,419
1233,Chris Richards,USA,DF,0,0,419
1235,Tim Ream,USA,DF,0,0,419
1236,Luc De Fougerolles,CAN,DF,0,0,421
1237,Ayyoub Bouaddi,MAR,MF,0,0,425
1238,Manu Kone,FRA,MF,0,0,426
1239,Ramy Rabia,EGY,DF,0,0,431
1240,Jesus Gallardo,MEX,DF,0,0,431
1241,Bart Verbruggen,NED,GK,0,0,432
1242,Patrick Beach,AUS,GK,0,0,435
1243,Alessandro Circati,AUS,DF,0,0,438
1243,Harry Souttar,AUS,DF,0,0,438
1245,Johan Mojica,COL,DF,0,0,442
1246,Manuel Neuer,GER,GK,0,0,442
1247,Vozinha,CPV,GK,0,0,445
1247,Pico Lopes,CPV,DF,0,0,445
1247,Diney Borges,CPV,DF,0,0,445
1250,Junior Alonso,PAR,DF,0,0,456
1251,Jefferson Lerma,COL,MF,0,0,459
1252,Krepin Diatta,SEN,DF,0,0,459
1253,Danilo,BRA,DF,0,0,471
1254,Richie Laryea,CAN,DF,0,0,475
1255,Djed Spence,ENG,DF,0,0,476
1256,Juan Jose Caceres,PAR,DF,0,0,488
1257,Maxim De Cuyper,BEL,DF,0,0,492
1258,Raul Rangel,MEX,GK,0,0,494
1259,Bilal El Khannouss,MAR,MF,0,0,501
1260,Torbjorn Heggem,NOR,DF,0,0,503
1261,Weston Mckennie,USA,MF,0,0,504
1262,Douglas Santos,BRA,DF,0,0,505
1263,Alistair Johnston,CAN,DF,0,0,511
1264,Maxime Crepeau,CAN,GK,0,0,511
1265,Lucas Digne,FRA,DF,0,0,513
1266,Renato Veiga,POR,DF,0,0,518
1266,Diogo Costa,POR,GK,0,0,518
1268,Marquinhos,BRA,DF,0,0,520
1268,Alisson,BRA,GK,0,0,520
1270,Nico Oreilly,ENG,DF,0,0,523
1271,William Saliba,FRA,DF,0,0,533
1272,Jhon Lucumi,COL,DF,0,0,538
1273,Camilo Vargas,COL,GK,0,0,541
1274,Davinson Sanchez,COL,DF,0,0,541
1275,Noussair Mazraoui,MAR,DF,0,0,542
1276,Nicolas Tagliafico,ARG,DF,0,0,543
1277,Mostafa Shoubir,EGY,GK,0,0,546
1278,Andres Cubas,PAR,MF,0,0,554
1278,Orlando Gill,PAR,GK,0,0,554
1278,Gustavo Gomez,PAR,DF,0,0,554
1281,Kristoffer Ajer,NOR,DF,0,0,554
1281,Sander Berge,NOR,MF,0,0,554
1281,Orjan Nyland,NOR,GK,0,0,554
1284,Leandro Paredes,ARG,MF,0,0,557
1285,Pedri,ESP,MF,0,0,565
1286,Nahuel Molina,ARG,DF,0,0,592
1287,Thibaut Courtois,BEL,GK,0,0,625
1288,Neil El Aynaoui,MAR,MF,0,0,634
1289,Yassine Bounou,MAR,GK,0,0,650
1290,Brandon Mechele,BEL,DF,0,0,651
1291,Remo Freuler,SUI,MF,0,0,654
1292,Jules Kounde,FRA,DF,0,0,666
1293,Manuel Akanji,SUI,DF,0,0,673
1293,Gregor Kobel,SUI,GK,0,0,673
1295,Nico Elvedi,SUI,DF,0,0,673
1296,Jordan Pickford,ENG,GK,0,0,756
1297,Marc Guehi,ENG,DF,0,0,761
1298,Mike Maignan,FRA,GK,0,0,810
1299,Rodri,ESP,MF,0,0,819
1300,Pau Cubarsi,ESP,DF,0,0,857
1300,Unai Simon,ESP,GK,0,0,857
1302,Emiliano Martinez,ARG,GK,0,0,934
